Wavelength_nm	Energy_eV	VOC_V	JSC_mA/cm2	FF_%	PCE_%
332.26152	3.732	3.27997	0.1474	95.42486	0.46134
332.43968	3.73	3.27836	0.14949	95.42313	0.46765
332.61803	3.728	3.27675	0.15158	95.4212	0.47396
332.79656	3.726	3.27513	0.15367	95.41938	0.48023
332.9753	3.724	3.27351	0.15574	95.41753	0.48645
333.15422	3.722	3.27187	0.15779	95.41552	0.49259
333.33333	3.72	3.27023	0.1598	95.41376	0.49862
333.51264	3.718	3.26857	0.16178	95.41182	0.50454
333.69214	3.716	3.26691	0.16376	95.40985	0.51043
333.87184	3.714	3.26525	0.16575	95.40802	0.51636
334.05172	3.712	3.26359	0.16776	95.40605	0.52235
334.23181	3.71	3.26194	0.16982	95.40412	0.52847
334.41208	3.708	3.26028	0.17193	95.40227	0.53476
334.59255	3.706	3.25863	0.17409	95.40027	0.5412
334.77322	3.704	3.25699	0.17629	95.39841	0.54777
334.95408	3.702	3.25534	0.17853	95.39652	0.55444
335.13514	3.7	3.25369	0.18079	95.39447	0.56115
335.31639	3.698	3.25204	0.18304	95.39268	0.56783
335.49784	3.696	3.25038	0.18527	95.39073	0.57446
335.67948	3.694	3.24872	0.18747	95.38869	0.58095
335.86132	3.692	3.24703	0.1896	95.38684	0.58723
336.04336	3.69	3.24534	0.19166	95.38485	0.59331
336.2256	3.688	3.24364	0.19367	95.38274	0.59919
336.40803	3.686	3.24193	0.19562	95.38086	0.6049
336.59066	3.684	3.24021	0.19753	95.37885	0.61045
336.77349	3.682	3.23848	0.19941	95.37674	0.61592
336.95652	3.68	3.23675	0.20128	95.37474	0.62135
337.13975	3.678	3.23502	0.20316	95.37277	0.62681
337.32318	3.676	3.23329	0.20509	95.3707	0.6324
337.5068	3.674	3.23156	0.20706	95.36858	0.63815
337.69063	3.672	3.22985	0.2091	95.36666	0.64407
337.87466	3.67	3.22813	0.2112	95.36465	0.65019
338.05889	3.668	3.22642	0.21337	95.36253	0.65649
338.24332	3.666	3.22472	0.21558	95.36059	0.66295
338.42795	3.664	3.22302	0.21784	95.35861	0.66952
338.61278	3.662	3.22131	0.22014	95.35652	0.6762
338.79781	3.66	3.21961	0.22245	95.35452	0.68295
338.98305	3.658	3.21791	0.22479	95.35257	0.68974
339.16849	3.656	3.21621	0.22715	95.35049	0.6966
339.35413	3.654	3.21451	0.22953	95.34844	0.70352
339.53998	3.652	3.21281	0.23195	95.3465	0.71052
339.72603	3.65	3.21111	0.2344	95.34444	0.71764
339.91228	3.648	3.20941	0.23691	95.34234	0.72493
340.09874	3.646	3.20771	0.23946	95.34042	0.73234
340.2854	3.644	3.20602	0.24203	95.33838	0.73978
340.47227	3.642	3.20432	0.2446	95.33623	0.74722
340.65934	3.64	3.20262	0.24715	95.33432	0.75459
340.84662	3.638	3.2009	0.24965	95.33228	0.7618
341.0341	3.636	3.19919	0.2521	95.33012	0.76885
341.22179	3.634	3.19746	0.25453	95.32811	0.77583
341.40969	3.632	3.19574	0.25696	95.32609	0.7828
341.5978	3.63	3.19401	0.2594	95.32396	0.7898
341.78611	3.628	3.19228	0.26188	95.32183	0.79689
341.97463	3.626	3.19056	0.2644	95.31985	0.8041
342.16336	3.624	3.18884	0.26696	95.31776	0.81143
342.35229	3.622	3.18711	0.26956	95.31558	0.81887
342.54144	3.62	3.18539	0.2722	95.31359	0.82643
342.73079	3.618	3.18368	0.27486	95.31155	0.83405
342.92035	3.616	3.18195	0.27755	95.3094	0.84173
343.11013	3.614	3.18023	0.28023	95.3073	0.84938
343.30011	3.612	3.1785	0.28288	95.30528	0.85692
343.4903	3.61	3.17677	0.28547	95.30315	0.86427
343.68071	3.608	3.17502	0.28797	95.30092	0.87135
343.87133	3.606	3.17326	0.29034	95.29887	0.87801
344.06215	3.604	3.17149	0.2926	95.29676	0.88432
344.25319	3.602	3.16971	0.29479	95.29457	0.89043
344.44444	3.6	3.16793	0.29695	95.29231	0.89644
344.63591	3.598	3.16615	0.29914	95.29017	0.90252
344.82759	3.596	3.16437	0.30143	95.28807	0.90889
345.01948	3.594	3.16261	0.30383	95.2859	0.9156
345.21158	3.592	3.16085	0.30632	95.28366	0.92257
345.4039	3.59	3.15909	0.30888	95.28154	0.92974
345.59643	3.588	3.15734	0.31148	95.27945	0.93703
345.78918	3.586	3.15558	0.31409	95.27728	0.94432
345.98214	3.584	3.15382	0.31667	95.27502	0.95154
346.17532	3.582	3.15206	0.31926	95.27291	0.95875
346.36872	3.58	3.1503	0.32186	95.2708	0.96602
346.56233	3.578	3.14854	0.32449	95.2686	0.97334
346.75615	3.576	3.14678	0.32714	95.26633	0.98071
346.9502	3.574	3.14501	0.32981	95.26422	0.98814
347.14446	3.572	3.14325	0.33248	95.2621	0.99556
347.33894	3.57	3.14149	0.33513	95.25988	1.00289
347.53363	3.568	3.13971	0.33774	95.25759	1.01012
347.72855	3.566	3.13794	0.34034	95.25546	1.01731
347.92368	3.564	3.13617	0.34295	95.25331	1.02449
348.11903	3.562	3.13439	0.34556	95.25109	1.03168
348.31461	3.56	3.13262	0.34819	95.24879	1.03891
348.5104	3.558	3.13084	0.35084	95.24661	1.0462
348.70641	3.556	3.12907	0.35348	95.24447	1.05345
348.90264	3.554	3.12728	0.35609	95.24224	1.0606
349.0991	3.552	3.1255	0.35868	95.23994	1.06768
349.29577	3.55	3.12372	0.36128	95.23769	1.0748
349.49267	3.548	3.12193	0.36392	95.23554	1.082
349.68979	3.546	3.12015	0.36663	95.23333	1.08941
349.88713	3.544	3.11838	0.36945	95.23105	1.09714
350.0847	3.542	3.11661	0.37238	95.22876	1.10519
350.28249	3.54	3.11485	0.37541	95.22665	1.11353
350.4805	3.538	3.1131	0.37853	95.22446	1.12213
350.67873	3.536	3.11134	0.38169	95.22219	1.13083
350.87719	3.534	3.10958	0.38483	95.21992	1.13945
351.07588	3.532	3.10782	0.38793	95.21779	1.14797
